GHGRP ID,Landfill ID,Landfill Name,State,Landfill Alias,Physical Address,City,County,Zip Code,Latitude,Longitude,Composting?,Ownership Type,Landfill Owner Organization(s),Landfill Operator Organization,Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Waste in Place Year,Annual Waste Acceptance Rate (tons per year),Annual Waste Acceptance Year,Does LF Recirculate Leachate?,Leachate Recirc Frequency (Past 10 Yrs),Permitted as RD&D LF?,LFG Generated (mmscfd),LFG Collection System In Place?,LFG Collected (mmscfd),LFG Collected Year,Percent Methane,Flares in Place?,Number of Flares,LFG Flared (mmscfd),LFG Flared Year,Number of Wells,GCCS Capacity (cfm),Passive Venting/Flaring?
1007198,153,"Foothill Sanitary Landfill, Inc.",CA,San Joaquin,6484 North Waverly Road,Linden,San Joaquin,95236,38.0371,-120.94489,No,Public,"San Joaquin County, CA","Foothill Sanitary Landfill, Inc.",1965,2092,Open,750,124,,,"82,797,309","6,179,823",2020,"272,299",2020,Yes,Several times per year,No,4.96,Yes,1.678,2020,49.1,Yes,,,,28,2000,Yes
,154,Fort Bidwell LF,CA,,,Fort Bidwell,Modoc,96112,37.883334,-121.266667,No,Public,"Modoc County, CA","Modoc County, CA",,1993,Closed,13,,,,,"10,000",,0,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,259,Fort Irwin Sanitary Landfill,CA,,Reserve Component Training Center,Fort Irwin (Mil Res),San Bernardino,92310,35.26589,-116.66233,No,Public,United States Army,United States Army,,2405,Open,422,,,,,"7,577,621",,"6,809",2004,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
1004010,11120,Forward Landfill,CA,Forward Inc. Landfill,9999 S. Austin Road,Manteca,San Joaquin,95336,37.874624,-121.1833,Yes,Private,"Republic Services, Inc.","Republic Services, Inc.",1973,2039,Open,,157,,,"32,882,079","31,325,862",2022,"1,154,381",2022,No,Not used,No,7.146,Yes,5.363,2022,48.1,Yes,2,3.533,2022,228,7684,No
,156,Foxen Canyon SLF,CA,Foxen LF,,Los Olivos,Santa Barbara,93441,37.95,-121.283334,No,Private,Chamberlin Estate,"Santa Barbara County, CA",,2003,Closed,17,,,,,"120,000",,"10,815",2003,Unknown,Not used,No,,Yes,,,50,Yes,,,,,,Unknown
1002107,62,Frank R. Bowerman SLF,CA,Bee Canyon SLF,11002 Bee Canyon Access Road,Irvine,Orange,92602,33.72053,-117.70947,Yes,Public,"County of Orange - OC Waste & Recycling, CA","County of Orange - OC Waste & Recycling, CA",1990,2053,Open,534,259.6,400,250,"174,549,200","64,319,453",2022,"2,191,039",2022,No,Not used,No,18.264,Yes,14.132,2022,50.9,Yes,5,5.543,2022,400,11000,No
,157,French Camp Landfill,CA,,3335 Manthey Road,Stockton,San Joaquin,95206,37.916,-121.295,No,Private,"Republic Services, Inc.","Republic Services, Inc.",,1999,Closed,66,,,,,"400,000",,650,1999,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,158,Furnace Creek,CA,,"Spur Road
off Hwy 190",Furnace Creek Ranch,Inyo,92328,36.47,-116.853,No,Public,Death Valley National Monument,Death Valley National Monument,,1996,Closed,10,,,,,"50,000",,140,1996,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
1003813,159,Geer Road SLF,CA,,750 Geer Road,Modesto,Stanislaus,95357,37.62609,-120.85,No,Public,"City of Modesto, CA; Stanislaus County, CA",,1970,1990,Closed,168,144,,,"4,984,513","4,984,513",1990,"51,818",1990,No,Not used,No,0.64,Yes,0.505,2022,33.9,Yes,1,0.505,2022,108,800,No
,160,Glenn County LF Site,CA,,5700 County Road 33,Artois,Glenn,95913,39.634,-122.285,No,Public,"Glenn County, CA","Glenn County, CA",,2019,Closed,52,,,,,"540,000",,"23,315",2004,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,161,Glennville LF,CA,,Evans Road,Glennville,Kern,93226,35.71993,-118.68282,No,Public,United States Forest Service,"Kern County, CA",,1991,Closed,4,,,,,"50,000",,0,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,162,Goldstone Deep Space Comm Complex,CA,Echo Gold,,Fort Irwin (Mil Res),San Bernardino,,35.3054,-116.79893,No,Public,,California Institute of Technology's Jet Propulsion Laboratory,,1998,Closed,7,,,,,"25,000",,,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,163,Gopher Hill SLF,CA,,Bucks Lake And Snake Lake Roads,Spanish Ranch,Plumas,95963,39.954,-121.031,No,Public,Plumas National Forest Quincy Road,"Plumas County, CA",,2002,Closed,13,,,,,"283,500",,83,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
1007837,164,Guadalupe Rubbish Disposal Facility,CA,Guadalupe Disposal Site; Guadalupe Sanitary Landfill,15999 Guadalupe Mines Road,San Jose,Santa Clara,95120,37.21139,-121.90139,No,Private,WM,WM,1929,2043,Open,115,92,100,,"20,215,193","11,177,649",2022,"339,926",2022,No,Not used,No,4.55,Yes,2.378,2022,44.1,Yes,2,2.378,2022,87,4000,No
1011716,165,Hanford SLF,CA,"Hanford Inert LF (City of Hanford LF), Kings County Waste & Recycling","7803 Hanford-Armona Road
at SE corner of INT with Hwy 43",Hanford,Kings,93230,36.30907,-119.59573,No,Public,Kings Waste and Recycling Authority,Kings Waste and Recycling Authority,1973,1997,Closed,77,,,,"2,250,385","2,250,385",1997,"90,015",1997,No,Not used,No,,Yes,0.019,2022,31,Yes,,0.019,2022,42,275,No
,166,Happy Camp Solid Waste Disposal site,CA,,Chambers Drive,Happy Camp,Siskiyou,96039,41.78,-123.4,No,Private,Landfill Owner of Happy Camp Solid Waste Disposal site,"Siskiyou County, CA",,1996,Closed,3,,,,,"10,000",,0,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,167,Harney Lane SLF,CA,,1/4 Mi E Of Jack Tone Road,Lodi,San Joaquin,95240,38.0994,-121.1364,No,Public,"San Joaquin County, CA","San Joaquin County, CA",1948,1992,Closed,97,,,,,"4,320,000",,"97,720",1991,Unknown,Not used,No,,Yes,,,50,Yes,,,,,,Unknown
,11340,Healdsburg Landfill,CA,,166 Alexander Valley Road,Healdsburg,Sonoma,95448,38.6508,-122.8685,No,Public,"Sonoma County, CA","Sonoma County, CA",1971,1989,Closed,,26,,,,"900,000",,,,Unknown,Not used,No,,Yes,0.39312,,40,Yes,1,0.39312,,,,Unknown
,169,Herlong Disposal Facility,CA,,County Road 328,Herlong,Lassen,96113,40.13669,-120.17019,No,Public,United States Bureau of Land Management,"Lassen Regional Solid Waste Management Authority, CA",1980,2000,Closed,20,,,,,"50,000",,,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,170,Hesperia Refuse Disposal Site,CA,,7 miles South on Hesperia Road,Hesperia,San Bernardino,92345,34.346,-117.349,No,Public,"San Bernardino County, CA","San Bernardino County, CA",1964,1997,Closed,38,,,50,"852,000","639,000",,"49,560",1996,Unknown,Not used,No,,Yes,0.16,,,Yes,,0.16,,18,,Unknown
1006079,171,Highgrove SLF,CA,,1420 Highgrove Pass Road,Moreno Valley,Riverside,92557,34.00667,-117.28667,No,Public,"Riverside County, CA","Riverside County, CA",1947,1998,Closed,71,64.1,,150,,"3,496,425",1998,"211,690",1997,Unknown,Not used,No,0.883,Yes,0.35,2022,36,Yes,1,0.35,2022,46,350,No
1006216,172,Highway 59 Landfill,CA,,"7040 N. Hwy 59
6 miles N. of Merced",Merced,Merced,95348,37.39389,-120.49778,No,Public,"Merced County Regional Waste Authority, CA","Merced County Regional Waste Authority, CA",1973,2052,Open,255,148,,,"26,160,211","8,636,612",2022,"422,257",2022,No,Not used,No,2.143,Yes,1.645,2022,39.5,Yes,,1.645,2022,103,2100,No
,173,Hillside Solid Waste Disposal Site,CA,Hillside Class III Disposal Site; Colma Landfill,1 Sand Hill Road,Colma,San Mateo,94014,37.683,-122.444,No,Private,"Cypress-Amloc Land Company, Inc.","Cypress-Amloc Land Company, Inc.",1968,2007,Closed,428,,,,,"930,000",2002,"38,565",2004,Unknown,Not used,No,,Yes,,,50,Yes,,,,,,Unknown
,175,Holtville Disposal Site,CA,,,Holtville,Imperial,92250,32.816667,-115.383334,No,Public,United States Bureau of Land Management,"Imperial County, CA",,2012,Closed,25,,,,,"150,000",2004,48,2004,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,177,Hot Spa Cut & Fill Site,CA,,10466 Spa Road,Niland,Imperial,92257,33.41528,-115.67611,No,Public,"Imperial County, CA","Imperial County, CA",1954,2027,Open,40,,,,,"50,000",2004,335,2004,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,178,Hotelling Gulch Disposal Site,CA,,,Forks of Salmon,Siskiyou,96031,41.23833,-123.27389,No,Public,United States Department of Agriculture; United States Forest Service,"Siskiyou County, CA",,1995,Closed,3,,,,,"10,000",,,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,325,Imperial Waste Site,CA,Worthington Cut & Fill Site,1705 West Worthington Road,Imperial,Imperial,92251,32.84552,-115.68112,No,Public,"Imperial County, CA","Imperial County, CA",1970,2019,Closed,60,18,,,,"171,000",,"1,264",2004,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,180,Independence Disposal Site,CA,,End of Dump Road,Independence,Inyo,93526,36.7884,-118.17586,No,Public,Los Angeles Department of Water & Power (LADWP),Inyo County Integrated Waste Management,,2038,Open,40,,,,,"100,000",2004,525,2004,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,335,Industry Hills Sheraton Resort,CA,Industry Hills Recreation/Convention Center,#1 Industry Hills Parkway,Industry Hills,Los Angeles,91744,34.021,-117.92778,No,Public,"City of Industry, CA","City of Industry, CA",1960,1977,Closed,,155,120,,,"3,600,000",,,,Unknown,Not used,No,,Yes,0.38,2003,50,Yes,,,,,,Unknown
,241,"Intermountain Landfill, Inc.",CA,Packway Materials LF,,Hat Creek,Shasta,96013,33.433334,-114.75,No,Private,"Intermountain Landfill, Inc.","Intermountain Landfill, Inc.",,1993,Closed,4,,,,,"40,500",,0,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,2066,Jamacha Landfill,CA,,,Jamacha,San Diego,,,,No,Public,"County of San Diego, CA","County of San Diego, CA",1960,1978,Closed,46,,,,,"1,800,000",,,,Unknown,Not used,No,,Yes,,,,Yes,1,0.331,,,,Unknown
1002886,181,John Smith Road Class III Landfill,CA,John Smith Road Solid Waste Disposal Site,2650 John Smith Road,Hollister,San Benito,95023,36.825,-121.324,No,Public,"San Benito County Public Works, CA","Waste Connections, Inc.",1968,2028,Open,44,33,,,"3,130,537","666,000",2002,"94,647",2008,Unknown,Not used,No,0.371,Yes,0.322,2012,42.8,Yes,,0.322,2012,48,760,No
1007128,182,Johnson Canyon SLF,CA,,31400 Johnson Canyon Road,Gonzales,Monterey,93926,36.53167,-121.40667,Yes,Public,"Salinas Valley Solid Waste Authority, CA","Salinas Valley Solid Waste Authority, CA",1976,2066,Open,80,69,,35,"14,432,453","4,025,090",2022,"227,172",2022,No,Not used,No,,Yes,2.319,2022,49.5,Yes,1,1.592,2022,120,800,No
,183,Jolon Road SLF,CA,,,King City,Monterey,93930,36.16683,-121.13061,No,Private,Carmel Marina Corp,"Monterey County, CA",,1997,Closed,25,,,,,"169,200",,"3,860",1997,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
1004011,184,Keller Canyon LF,CA,,901 Bailey Road,Pittsburg,Contra Costa,94565,38.00472,-121.93611,No,Private,"Republic Services, Inc.","Republic Services, Inc.",1992,2067,Open,244,103.5,400,191,"66,198,830","24,405,474",2022,"1,036,546",2022,Yes,Several times per year,No,7.549,Yes,4.724,2022,50.8,Yes,2,3.279,2022,169,6120,No
,185,Kelly Gulch Solid Waste Disposal Site,CA,,,Sawyers Bar,Siskiyou,,41.32667,-123.154,No,Public,United States Department of Agriculture; United States Forest Service,"Siskiyou County, CA",,1994,Closed,1,,,,,"10,000",,,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,186,Kennedy Meadows Disposal Site,CA,,Goman Rd W Of Mountain Rd M-152,Johnsondale,Tulare,93207,35.991,-118.105,No,Public,United States Bureau of Land Management,"Tulare County, CA",,2002,Closed,10,,,,,"25,000",,0,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,187,Kern Valley LF,CA,,,Kernville,Kern,93285,35.75,-118.433334,No,Public,United States Bureau of Land Management,"Kern County, CA",,1997,Closed,25,,,,,"276,507",,"16,700",1996,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
1004037,265,Kiefer LF,CA,Sacramento County LF,12701 Kiefer Boulevard & Grant Line Road,Sloughhouse,Sacramento,95683,38.52099,-121.1989,No,Public,"Sacramento County, CA","Sacramento County, CA",1967,2098,Open,660,335,,,"117,420,098","34,481,556",2022,"1,132,188",2022,No,Not used,No,14.4,Yes,7.837,2022,43.6,Yes,2,0.37,2019,351,13500,No
1007817,188,Kirby Canyon Recycling & Disposal Facility,CA,,910 Coyote Creek Golf Drive,Morgan Hill,Santa Clara,95037,37.18507,-121.67109,No,Private,WM,WM,1986,2061,Open,311,83.2,338,,"29,608,945","12,993,080",2022,"598,341",2022,Yes,Several times per year,No,4.293,Yes,2.46,2022,45.3,Yes,,2.46,2022,81,4080,No
,189,L & D Landfill Company,CA,,8635 Fruitridge Road,Sacramento,Sacramento,95826,38.528,-121.378,No,Private,Fruitridge Road Land Company,L & D Landfill Company,1977,2032,Open,,157,,,"3,618,633","1,453,000",2002,"222,671",2004,Unknown,Not used,No,,Yes,0.504,2011,35,Yes,,0.504,2011,,,Unknown
,190,Lake City LF,CA,,County Rd #15-C,Lake City,Modoc,96115,41.631,-120.116,No,Public,United States Bureau of Land Management,"Modoc County, CA",,1993,Closed,23,,,,,"10,000",,0,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
1002134,191,Lamb Canyon Sanitary Landfill,CA,Lamb Canyon Disposal Site,16411 Lamb Canyon Road,Beaumont,Riverside,92223,33.88389,-116.99722,No,Public,"Riverside County, CA","Riverside County, CA",1970,2050,Open,144.6,123.4,,100,"27,562,500","13,842,713",2022,"606,756",2022,No,Not used,No,2.483,Yes,2.002,2022,48.9,Yes,1,2.002,2022,95,5500,No
1007841,314,Lancaster Landfill,CA,Lancaster Waste Management,600 East Avenue `F`,Lancaster,Los Angeles,93535,34.7474,-118.1165,No,Private,WM,WM,1954,2089,Open,209,123.9,,,"22,019,305","8,783,782",2022,"157,713",2022,No,Not used,No,1.887,Yes,1.339,2022,35.4,Yes,1,1.339,2022,60,2000,No
1007424,192,Landers Sanitary Landfill,CA,,"59200 Winters Road
1/2 mile E. of Avalon Avenue",Landers,San Bernardino,92285,34.24048,-116.38152,Yes,Public,"San Bernardino County, CA",,1965,2072,Open,92,44,,60,"8,195,734","2,867,899",2022,"75,893",2022,No,Not used,No,0.495,No,,,,No,,,,,,No
1002224,193,Las Pulgas LF,CA,,"1 mi N of Camp Pulgas, off Basilone Road",Camp Pendleton (Mil Res),San Diego,92055,33.36444,-117.41921,No,Public,United States Marine Corps,United States Marine Corps,1972,2024,Open,21,,,,"6,274,916","2,174,965",2022,"25,070",2022,Yes,Several times per year,No,,Yes,0.022,2022,55.1,Yes,,0.022,2022,11,500,Yes
,195,Lava Beds Disposal Site,CA,,,Tulelake,Siskiyou,96134,41.7,-121.46667,No,Public,United States Department of the Interior - National Park Service,United States Department of the Interior - National Park Service,,1995,Closed,1,,,,,"10,000",,,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,196,Laytonville Refuse Disposal Site,CA,,,Laytonville,Mendocino,,,,No,Public,Mendocino County Division of Solid Waste,Mendocino County Division of Solid Waste,,1993,Closed,7,,,,,"50,000",,,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,197,Lebec SLF,CA,,300 Landfill Road,Lebec,Kern,93243,34.82697,-118.88773,No,Public,"Kern County, CA","Kern County, CA",,1991,Closed,32,,,,,"584,435",,"19,340",1990,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,198,Lenwood-Hinkley Refuse Disposal Site,CA,,37751 Lenwood Road,Lenwood,San Bernardino,92311,34.9355,-117.1183,No,Public,"San Bernardino County, CA","San Bernardino County, CA",1965,1997,Closed,50,,,15,"540,000","405,000",,"5,640",1996,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,199,Lewis Road SLF,CA,,1010 Lewis Road,Pajaro,Monterey,95076,36.88083,-121.69944,No,Public,"Monterey County, CA","Monterey County, CA",1947,2002,Closed,14.5,,130,130,"720,460","443,400",2002,"24,370",2001,Unknown,Not used,No,,Yes,0.094,2018,50,Yes,,0.094,2018,,,Unknown
,200,Lone Pine Disposal Site,CA,,End of Substation Road,Lone Pine,Inyo,93545,36.59421,-118.03495,No,Public,Los Angeles Department of Water & Power (LADWP),Inyo County Integrated Waste Management,,2087,Open,25,,,,,"100,000",2004,"2,494",2004,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
1006107,201,Lopez Canyon SLF,CA,,11950 Lopez Canyon Road,Sylmar,Los Angeles,91342,34.29028,-118.39111,No,Public,"City of Los Angeles, Bureau of Sanitation, CA","City of Los Angeles, Bureau of Sanitation, CA",1975,1996,Closed,152,90,200,200,"19,203,287","19,103,290",1996,"570,035",1996,No,Not used,No,3.27,Yes,1.508,2022,47.5,Yes,7,0.297,2021,450,8750,No
,202,Lost Hills SLF,CA,,14251 Holloway Road,Lost Hills,Kern,93249,35.6311,-119.75732,No,Public,"Kern County, CA","Kern County, CA",1973,,Closed,25,7,,40,"830,800","82,140",2009,"1,410",2000,Unknown,Not used,No,0.072,No,,,,No,,,,,,Unknown
,255,Louisiana-Pacific Disposal Site,CA,Red Bluff LF,,Red Bluff,Tehama,,,,No,Private,Louisiana-Pacific Corporation,Louisiana-Pacific Corporation,,,Unknown,,,,,,,,0,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,203,Loyalton LF,CA,,"Garbage Pit Road
1 Mi E Loyalton",Loyalton,Sierra,96118,39.67,-120.22,No,Public,"Sierra County, CA","Sierra County, CA",1977,2017,Closed,21,,,,,"56,400",,"2,376",2004,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,204,Lucerne Valley Disposal Site,CA,,Camp Rock Road,Lucerne Valley,San Bernardino,92356,34.4307,-116.8542,No,Public,"San Bernardino County, CA","San Bernardino County, CA",1965,1993,Closed,6,,,,"60,000","60,000",,"4,580",1992,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,205,Madeline Disposal Facility,CA,,,Madeline,Lassen,96119,41.05,-120.45333,No,Public,United States Bureau of Land Management,"Lassen Regional Solid Waste Management Authority, CA",,1997,Closed,10,,,,,"10,000",,,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,206,Mariposa County SLF,CA,,5593 Hwy 49 N,Mariposa,Mariposa,95338,37.50432,-120.0058,Yes,Public,"Mariposa County, CA",,,2081,Open,40,,,,,"720,000",,"11,331",2004,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,336,Marsh Road LF,CA,"Menlo Park LF, Bayfront Park LF","1600 Marsh Road
North End Of Marsh Road at Bayfront Expwy",Menlo Park,San Mateo,94025,37.4929,-122.1759,No,Public,"City of Menlo Park, CA","City of Menlo Park, CA",1960,1982,Closed,160,,,,,"5,000,000",,"272,000",,Unknown,Not used,No,,Yes,1.15,,50,Yes,1,,,72,,Unknown
,207,McCloud Community Services District LF,CA,,Timber Road,McCloud,Siskiyou,96057,41.242,-122.132,No,Public,McCloud Community Services District,McCloud Community Services District,,1995,Closed,12.5,,,,,"50,000",,"2,150",1994,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,208,McCourtney LF,CA,McCourtney Road Landfill,14741 Wolf Mountain Road,Grass Valley,Nevada,95949,39.1726,-121.1121,Yes,Public,County of Nevada,County of Nevada,1972,1992,Closed,60,,,,,"2,182,268",,0,,Unknown,Not used,No,,Yes,0.13968,,21.1,Yes,1,0.13968,,,,Unknown
,209,McFarland-Delano SLF,CA,,"Stradley Avenue
3 mi S. of Delano",Delano,Kern,93215,35.741,-119.254,No,Public,"Kern County, CA","Kern County, CA",1971,1992,Closed,37,37,60,60,"1,117,000","1,117,000",,"50,900",1991,Unknown,Not used,No,,Yes,0.086,,50,Yes,,0.086,,,,Unknown
1000366,210,Mead Valley Disposal Site,CA,,22376 Forrest Road,Perris,Riverside,92570,33.7957,-117.2832,No,Public,"Riverside County, CA","Riverside County, CA",1974,1997,Closed,60,55.5,,150,"2,312,837","2,312,837",,"184,386",1996,Unknown,Not used,No,0.764,Yes,0.317,2012,33.2,Yes,1,0.317,2012,45,400,No
,211,Mecca LF II,CA,,"95250 66th Avenue
Box Canyon Road & Garfield Street",Mecca,Riverside,92254,33.57194,-116.00306,No,Public,"Riverside County, CA","Riverside County, CA",,,Open,19,,,,,"72,000",,"2,864",2004,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,212,Metro Water District - Iron Mountain,CA,Cal Compact/Metro LF,,Vidal,San Bernardino,,,,No,Public,Metro Water District of Southern CA,Metro Water District of Southern CA,1959,1965,Closed,5,,,,,"2,400",,0,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
1003918,338,Mid-Valley Sanitary LF,CA,Fontana Refuse Disposal Site,2390 N. Alder Avenue,Rialto,San Bernardino,92377,34.14333,-117.43,Yes,Public,"San Bernardino County, CA",BURRTEC,1958,2033,Open,410,409,300,150,"74,468,246","27,122,097",2022,"1,076,197",2022,Yes,Occasionally but not every year,No,4.816,Yes,3.65,2022,42.8,Yes,3,3.65,2022,264,4500,No
1006293,213,Milliken SLF,CA,,2050 S. Milliken Avenue,Ontario,San Bernardino,91761,34.0365,-117.5583,No,Public,"San Bernardino County, CA","San Bernardino County, CA",1957,1999,Closed,140,13.4,200,150,"17,400,000","13,973,400",,"13,000",,No,Not used,No,,Yes,2.025,2022,26.3,Yes,2,2.025,2022,241,4000,No
,10141,Mission Canyon Landfill,CA,Mission Canyon #1-3,1801 & 2501 North Sepulveda Boulevard,Los Angeles,Los Angeles,90049,34.1102,-118.4824,No,Public,"Sanitation Districts of Los Angeles County, CA",,1960,1965,Closed,444,110,104,104,"5,300,000","5,300,000",1965,"1,060,000",1965,Unknown,Not used,No,0.17,Yes,0.16,2023,,Yes,1,0.16,2023,58,,Unknown
,337,Mission Hills,CA,Mission Hills (Canyons 4-8); Mountaingate Project,12445 Mountaingate Drive,Los Angeles,Los Angeles,90049,34.1073,-118.4876,No,Private,American Golf Corp.; Barclay Hollander,Barclay Hollander,1960,1976,Closed,200,,,200,,"21,310,000",,0,,Unknown,Not used,No,,Yes,4,,50,Yes,,,,,,Unknown
,215,Mojave-Rosamond SLF,CA,,400 Silver Queen Road,Mojave,Kern,93501,34.99336,-118.13881,No,Public,"Kern County, CA","Kern County, CA",1973,2123,Open,253,27,100,40,"45,000,000","979,470",2009,"11,400",2008,Unknown,Not used,No,0.072,No,,,,No,,,,,,Unknown
1004550,217,Monterey Peninsula SLF,CA,Marina LF; Monterey R.W.M.D. LF,14201 Del Monte Blvd,Marina,Monterey,93933,36.71333,-121.76667,Yes,Public,"Monterey Regional Waste Management District, CA","Monterey Regional Waste Management District, CA",1966,2132,Open,315,113.6,270,120,"56,885,736","14,154,230",2022,"584,283",2022,Yes,Several times per year,No,4.969,Yes,2.824,2022,49.7,Yes,,1.054,2022,142,4000,No
,218,Morongo Disposal Site,CA,,1/2 mile East of Highway 62,Morongo Valley,San Bernardino,92256,34.0557,-116.558,No,Public,"San Bernardino County, CA","San Bernardino County, CA",1979,1998,Closed,13.2,,,50,"43,194","43,194",,"6,204",1996,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,219,"NAS, Lemoore SLF",CA,,,Lemoore,Kings,,,,No,Public,United States Navy,United States Navy,,,Closed,39,,,,,"591,600",,,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
1004052,220,Neal Road Recycling and Waste Facility,CA,Neal Road LF,1023 Neal Road,Paradise,Butte,95969,39.67425,-121.72929,No,Public,"Butte County, CA","Butte County, CA",1970,2047,Open,140,98,,,"11,697,222","7,388,518",2022,"186,745",2022,No,Not used,No,2.04,Yes,1.342,2022,44.9,Yes,1,0.286,2022,87,1800,No
,221,Needles Solid Waste Disposal Site,CA,,13930 Needles Landfill Road,Needles,San Bernardino,92363,34.8526,-114.631,No,Public,"San Bernardino County, CA",City of Needles,1967,1994,Closed,50,,,,"226,944","226,944",,"1,139",1994,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,222,New Cuyama SLF,CA,,1/4 miles SW of New Cuyama,New Cuyama,Santa Barbara,93254,34.95,-119.7,No,Public,"Santa Barbara County, CA","Santa Barbara County, CA",,1997,Closed,8,,,,,"50,000",,0,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,224,Newberry Springs Disposal Site,CA,,"Poniete Drive
3 miles South of Highway 66",Newberry Springs,San Bernardino,92365,34.791,-116.66,No,Public,"San Bernardino County, CA","San Bernardino County, CA",1965,1991,Closed,6,,,20,"13,751","13,751",,,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
1006179,225,"Newby Island SLF Phases I, II, & III",CA,NISL,1601 Dixon Landing Road,Milpitas,Santa Clara,95035,37.45897,-121.94108,Yes,Private,"Republic Services, Inc.","Republic Services, Inc.",1938,2033,Open,298,235,72,,"50,808,696","35,860,073",2022,"1,315,544",2022,No,Not used,No,8.501,Yes,5.145,2022,47.1,Yes,2,5.145,2022,281,7400,No
,226,Niland Cut & Fill Site,CA,,8450 Cuff Road,Niland,Imperial,92257,33.27111,-115.49167,No,Public,"Imperial County, CA","Imperial County, CA",1941,2041,Open,100,,,,,"50,000",2004,507,2004,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,228,North Belridge Solid Waste Disposal Site,CA,,,Lost Hills,Kern,93249,35.52613,-119.78603,No,Private,Aera Energy LLC,Aera Energy LLC,,2007,Closed,32,,,,,"39,761",,0,,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
1007197,227,North County SLF,CA,North County Recycling Center and Sanitary LF,17720 East Harney Lane,Lodi,San Joaquin,95240,38.097,-121.10194,No,Public,"San Joaquin County, CA","San Joaquin County, CA",1991,2090,Open,185,55,,,"30,898,996","4,366,706",2020,"162,069",2020,Yes,Several times per year,No,,Yes,0.382,2020,50.8,Yes,,0.382,2020,14,800,Yes
1007558,20794,North Miramar SLF,CA,,5180 Convoy Street,San Diego,San Diego,92111,32.856,-117.162,Yes,Public,"City of San Diego, CA",,1973,1983,Closed,,,,,"6,901,184","6,901,184",1983,"627,380",1983,No,Not used,No,0.707,Yes,0.042,2022,47.7,Yes,2,,,70,9340,No
,229,Oasis Disposal Site,CA,Oasis SLF,84-505 84th Avenue,Oasis,Riverside,92274,33.439,-116.0815,No,Public,"Riverside County, CA","Riverside County, CA",,2045,Open,23.3,,,,,"100,000",2004,4,2004,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,230,Ocotillo Cut & Fill,CA,,,Ocotillo,Imperial,92274,32.733334,-116,No,Public,United States Bureau of Land Management,"Imperial County, CA",,2005,Closed,40,,,,,"25,000",2004,1,2004,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
1002320,232,Olinda Alpha SLF,CA,Olinda SLF,1942 N. Valencia Avenue,Brea,Orange,92823,33.93361,-117.84361,Yes,Public,"County of Orange - OC Waste & Recycling, CA","County of Orange - OC Waste & Recycling, CA",1960,2036,Open,453,420,415,235,"96,736,556","92,800,120",2022,"2,142,713",2022,No,Not used,No,16.588,Yes,14.069,2022,49,Yes,3,0.912,2021,559,12600,No
