GHGRP ID,Landfill ID,Landfill Name,State,Landfill Alias,Physical Address,City,County,Zip Code,Latitude,Longitude,Composting?,Ownership Type,Landfill Owner Organization(s),Landfill Operator Organization,Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Design Landfill Area (acres),Current Landfill Area (acres),Design Landfill Depth (feet),Current Landfill Depth (feet),Landfill Design Capacity (tons),Waste in Place (tons),Waste in Place Year,Annual Waste Acceptance Rate (tons per year),Annual Waste Acceptance Year,Does LF Recirculate Leachate?,Leachate Recirc Frequency (Past 10 Yrs),Permitted as RD&D LF?,LFG Generated (mmscfd),LFG Collection System In Place?,LFG Collected (mmscfd),LFG Collected Year,Percent Methane,Flares in Place?,Number of Flares,LFG Flared (mmscfd),LFG Flared Year,Number of Wells,GCCS Capacity (cfm),Passive Venting/Flaring?
1007813,8,Chastang SLF,AL,City of Mobile SLF MSWLF,17045 Highway 43,Mt. Vernon,Mobile,36560,31.06179,-88.02503,No,Public,"City of Mobile, AL",WM,1976,2151,Open,199,102.6,,116,"34,169,948","8,173,792",2022,"188,447",2022,No,Occasionally but not every year,No,3.92,Yes,0.675,2022,50.7,Yes,1,0.675,2022,114,3000,No
,2409,Chilton County Landfill,AL,,300 Industrial Drive,Thorsby,Chilton,35171,32.9285,-86.7405,No,Private,"Republic Services, Inc.","Republic Services, Inc.",,,Closed,,,,,,,,,,Unknown,Not used,No,,No,,,,Unknown,,,,,,Unknown
1010661,2,City of Decatur-Morgan County Regional MSW Landfill,AL,Decatur SLF MSWLF; Morgan County Regional Landfill,500 Landfill Drive,Trinity,Morgan,35673,34.6175,-87.10163,No,Public,"City of Decatur, AL; Morgan County, AL","City of Decatur, AL",1980,2051,Open,223.4,72,80,60,"11,360,146","6,779,927",2022,"223,613",2022,No,Occasionally but not every year,No,2.542,Yes,0.9,2022,57.1,Yes,,0.077,2021,125,750,No
1010957,19,City of Dothan SLF MSWLF,AL,,1290 Burkett Road,Dothan,Houston,36303,31.238766,-85.356721,No,Public,"City of Dothan, AL","City of Dothan, AL",1977,2071,Open,49.3,,,,"5,666,850","3,866,274",2022,"6,063",2022,No,Not used,No,,No,,,,No,,,,,,No
1006186,9,Coffee County Sanitary Landfill,AL,,7733 Highway 125,Elba,Coffee,36323,31.507053,-86.000975,No,Public,"Coffee County Commission, AL",Coffee County Sanitary Landfill,1993,2048,Open,450,61.6,,60,"6,765,340","4,725,619",2022,"254,576",2022,No,Not used,No,3.016,Yes,0.543,2022,46,Yes,,0.543,2022,39,1400,No
,3,Cullman County SLF,AL,,"Highway 69
near Cold Springs",,Cullman,,,,No,Public,"Cullman County Commission, AL","Cullman County Commission, AL",1974,1993,Closed,75,,,30,,"912,793",1993,"73,255",,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
1007382,4,Cullman Environmental Waste Management Center,AL,,2805 AL Highway 69 South,Cullman,Cullman,35057,34.02878,-86.90069,No,Private,"Cullman Environmental, Inc.","Cullman Environmental, Inc.",1993,2040,Open,226,55,,60,"2,937,045","2,164,857",2022,"102,265",2022,Yes,Several times per year,No,0.603,No,,,,No,,,,,,Yes
1007018,15,Eastern Area Landfill,AL,,2787 Alton Drive,Birmingham,Jefferson,35210,33.5978,-86.6288,No,Public,"City of Birmingham, AL","City of Birmingham, AL",1974,2038,Open,72,48,,,"5,421,445","4,496,135",2022,"60,988",2022,No,Not used,No,1.83,No,,,,No,,,,,,Yes
,35,Florence SLF MSWLF,AL,,"29485 Waterloo Road & Savannah Highway
State Highway 20",Florence,Lauderdale,35630,34.806005,-87.714765,No,Public,"City of Florence Public Works, AL","City of Florence Public Works, AL",1988,2015,Closed,37,17,,,,"1,361,816",2009,"64,010",2007,Unknown,Not used,No,,No,,,,No,,,,,,Unknown
,34,Florence SLF MSWLF (Old),AL,,Irvine Avenue,Florence,Lauderdale,35630,34.803,-87.7058,No,Private,Hensley-Graves Holdings LLC,,1972,1988,Closed,,39,,,,"1,461,912",,,,Unknown,Not used,No,,Yes,,,50,No,,,,,,Unknown
